date,c-ip,cs-uri-stem,cs(User-Agent),time-taken
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/22.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",78
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/45.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",187
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/閿熸枻鎷烽敓鏂ゆ嫹_0.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",62
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/29.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",234
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/57.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",62
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/47.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",46
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/3.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",203
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/54.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",218
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/19.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",250
2017/5/7 0:00:00,180.160.30.229,/models/maps_wumen/46.jpg,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.96+Safari/537.36",140
